MIDI File: Carly Rae Jepsen - Call Me Maybe.mid
Tempo: 119 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 5
Consolidated Instrument Tracks: 4

Instrument: Drum Kit / Percussion
  Note: C2 (Bass Drum 1), Time: 25.70s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 26.21s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 26.21s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 26.71s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 26.71s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 27.22s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 27.22s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 27.72s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 27.72s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 28.22s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 28.22s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 28.73s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 28.73s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 29.23s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 29.23s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 29.74s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 29.74s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 30.24s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 30.24s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 30.75s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 30.75s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 31.25s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 31.25s, Duration: 0.13s, Velocity: 0.39

Instrument: Electric Bass
  Note: D4, Time: 0.49s, Duration: 0.13s, Velocity: 0.39
  Note: E4, Time: 0.62s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 0.87s, Duration: 0.38s, Velocity: 0.39
  Note: D4, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 2.26s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 2.51s, Duration: 0.13s, Velocity: 0.39
  Note: E4, Time: 2.64s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 2.89s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 3.27s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 3.27s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 4.28s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 4.53s, Duration: 0.25s, Velocity: 0.39
  Note: C5, Time: 4.78s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 5.03s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 5.28s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 6.29s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 6.54s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 6.80s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 7.05s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 7.30s, Duration: 0.25s, Velocity: 0.39
  Note: E4, Time: 8.06s, Duration: 0.50s, Velocity: 0.39
  Note: D4, Time: 8.56s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 8.56s, Duration: 0.25s, Velocity: 0.39
  Note: E4, Time: 8.81s, Duration: 0.13s, Velocity: 0.39
  Note: G4, Time: 8.94s, Duration: 0.38s, Velocity: 0.39
  Note: D4, Time: 9.32s, Duration: 0.38s, Velocity: 0.39
  Note: D4, Time: 10.58s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 10.83s, Duration: 0.13s, Velocity: 0.39
  Note: E4, Time: 10.96s, Duration: 0.13s, Velocity: 0.39
  Note: B4, Time: 11.08s, Duration: 0.76s, Velocity: 0.39
  Note: G4, Time: 11.84s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 12.34s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 12.59s, Duration: 0.25s, Velocity: 0.39
  Note: C5, Time: 12.85s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 13.10s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 13.35s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 14.36s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 14.61s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 14.86s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 15.12s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 15.37s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 16.12s, Duration: 0.50s, Velocity: 0.39
  Note: G4, Time: 16.38s, Duration: 0.50s, Velocity: 0.39
  Note: D4, Time: 16.63s, Duration: 0.13s, Velocity: 0.39
  Note: E4, Time: 16.75s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 17.01s, Duration: 0.38s, Velocity: 0.39
  Note: D4, Time: 17.38s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 18.39s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 18.64s, Duration: 0.13s, Velocity: 0.39
  Note: E4, Time: 18.77s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 19.02s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 19.40s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 19.40s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 20.41s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 20.66s, Duration: 0.25s, Velocity: 0.39
  Note: C5, Time: 20.91s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 21.17s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 21.42s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 22.43s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 22.68s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 22.93s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 23.18s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 23.43s, Duration: 0.25s, Velocity: 0.39
  Note: E4, Time: 24.19s, Duration: 0.50s, Velocity: 0.39
  Note: D4, Time: 24.70s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 24.70s, Duration: 0.25s, Velocity: 0.39
  Note: E4, Time: 24.95s, Duration: 0.13s, Velocity: 0.39
  Note: G4, Time: 25.07s, Duration: 0.38s, Velocity: 0.39
  Note: D4, Time: 25.45s, Duration: 0.38s, Velocity: 0.39
  Note: D4, Time: 26.71s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 26.96s, Duration: 0.13s, Velocity: 0.39
  Note: E4, Time: 27.09s, Duration: 0.13s, Velocity: 0.39
  Note: B4, Time: 27.22s, Duration: 0.76s, Velocity: 0.39
  Note: G4, Time: 27.97s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 28.48s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 28.73s, Duration: 0.25s, Velocity: 0.39
  Note: C5, Time: 28.98s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 29.23s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 29.49s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 30.49s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 30.75s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 31.00s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 31.25s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 31.50s, Duration: 0.25s, Velocity: 0.39

Instrument: High Strings (Violin, Viola, etc.)
  Note: E4, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
