MIDI File: FlyMeToTheMoon.mid
Tempo: 128 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 19
Consolidated Instrument Tracks: 7

Instrument: Alto Sax
  (No notes for this instrument)

Instrument: Drum Kit / Percussion
  Note: F#2 (Closed Hi-Hat), Time: 31.75s, Duration: 0.10s, Velocity: 0.39
  Note: D2 (Acoustic Snare), Time: 31.88s, Duration: 0.10s, Velocity: 0.39
  Note: F#2 (Closed Hi-Hat), Time: 31.88s, Duration: 0.10s, Velocity: 0.55
  Note: B1 (Acoustic Bass Drum), Time: 32.20s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 32.34s, Duration: 0.10s, Velocity: 0.63
  Note: D2 (Acoustic Snare), Time: 32.67s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 32.81s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 32.81s, Duration: 0.10s, Velocity: 0.55
  Note: D2 (Acoustic Snare), Time: 33.14s, Duration: 0.10s, Velocity: 0.24
  Note: D2 (Acoustic Snare), Time: 33.28s, Duration: 0.10s, Velocity: 0.39
  Note: F#2 (Closed Hi-Hat), Time: 33.28s, Duration: 0.10s, Velocity: 0.79
  Note: D2 (Acoustic Snare), Time: 33.44s, Duration: 0.10s, Velocity: 0.20
  Note: D2 (Acoustic Snare), Time: 33.61s, Duration: 0.10s, Velocity: 0.31
  Note: D2 (Acoustic Snare), Time: 33.75s, Duration: 0.10s, Velocity: 0.39
  Note: C#2 (Side Stick), Time: 34.22s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 34.22s, Duration: 0.10s, Velocity: 0.63
  Note: D#3 (Ride Cymbal 1), Time: 34.22s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 34.56s, Duration: 0.10s, Velocity: 0.55
  Note: D2 (Acoustic Snare), Time: 34.69s, Duration: 0.10s, Velocity: 0.31
  Note: D#3 (Ride Cymbal 1), Time: 34.69s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 35.16s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 35.16s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 35.16s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 35.50s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 35.63s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 36.09s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 36.09s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 36.09s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 36.43s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 36.56s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 37.03s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 37.03s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 37.37s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 37.50s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 37.97s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 37.97s, Duration: 0.10s, Velocity: 0.63
  Note: D#3 (Ride Cymbal 1), Time: 37.97s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 38.31s, Duration: 0.10s, Velocity: 0.55
  Note: D2 (Acoustic Snare), Time: 38.44s, Duration: 0.10s, Velocity: 0.31
  Note: D#3 (Ride Cymbal 1), Time: 38.44s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 38.91s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 38.91s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 38.91s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 39.25s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 39.38s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 39.84s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 39.84s, Duration: 0.10s, Velocity: 0.63
  Note: D#3 (Ride Cymbal 1), Time: 39.84s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 40.18s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 40.31s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 40.78s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 40.78s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 40.78s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 41.12s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 41.25s, Duration: 0.10s, Velocity: 0.55
  Note: D2 (Acoustic Snare), Time: 41.59s, Duration: 0.10s, Velocity: 0.47
  Note: C#2 (Side Stick), Time: 41.72s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 41.72s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 41.72s, Duration: 0.10s, Velocity: 0.71
  Note: D2 (Acoustic Snare), Time: 42.06s, Duration: 0.10s, Velocity: 0.31
  Note: D#3 (Ride Cymbal 1), Time: 42.06s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 42.19s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 42.66s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 42.66s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 42.66s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 43.00s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 43.13s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 43.59s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 43.59s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 43.59s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 43.93s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 44.06s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 44.53s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 44.53s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 44.87s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 45.00s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 45.47s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 45.47s, Duration: 0.10s, Velocity: 0.63
  Note: D#3 (Ride Cymbal 1), Time: 45.47s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 45.81s, Duration: 0.10s, Velocity: 0.55
  Note: D2 (Acoustic Snare), Time: 45.94s, Duration: 0.10s, Velocity: 0.31
  Note: D#3 (Ride Cymbal 1), Time: 45.94s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 46.41s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 46.41s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 46.41s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 46.75s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 46.88s, Duration: 0.10s, Velocity: 0.63
  Note: D2 (Acoustic Snare), Time: 47.21s, Duration: 0.10s, Velocity: 0.47
  Note: C#2 (Side Stick), Time: 47.34s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 47.34s, Duration: 0.10s, Velocity: 0.63
  Note: D#3 (Ride Cymbal 1), Time: 47.34s, Duration: 0.10s, Velocity: 0.71
  Note: B1 (Acoustic Bass Drum), Time: 47.68s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 47.68s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 47.81s, Duration: 0.10s, Velocity: 0.63
  Note: D2 (Acoustic Snare), Time: 48.15s, Duration: 0.10s, Velocity: 0.47
  Note: C#2 (Side Stick), Time: 48.28s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 48.28s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 48.28s, Duration: 0.10s, Velocity: 0.71
  Note: D2 (Acoustic Snare), Time: 48.62s, Duration: 0.10s, Velocity: 0.39
  Note: D#3 (Ride Cymbal 1), Time: 48.62s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 48.75s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 49.22s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 49.22s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 49.22s, Duration: 0.10s, Velocity: 0.71
  Note: D2 (Acoustic Snare), Time: 49.56s, Duration: 0.10s, Velocity: 0.31
  Note: D#3 (Ride Cymbal 1), Time: 49.56s, Duration: 0.10s, Velocity: 0.39
  Note: D#3 (Ride Cymbal 1), Time: 49.69s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 50.16s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 50.16s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 50.16s, Duration: 0.10s, Velocity: 0.71
  Note: D2 (Acoustic Snare), Time: 50.50s, Duration: 0.10s, Velocity: 0.31
  Note: D#3 (Ride Cymbal 1), Time: 50.50s, Duration: 0.10s, Velocity: 0.39
  Note: D#3 (Ride Cymbal 1), Time: 50.63s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 51.09s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 51.09s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 51.09s, Duration: 0.10s, Velocity: 0.71
  Note: D#3 (Ride Cymbal 1), Time: 51.43s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 51.56s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 52.03s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 52.03s, Duration: 0.10s, Velocity: 0.71
